CO_ID;CL_ID;DATA;CL_GENERO;CL_SEG;QTD_ITENS;QTD_PRODUTOS_DISTINTOS;QTD_CATEGORIAS_DISTINTAS;CATEGORIAS
184212;621;15/10/2019;F;B;31;31;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184295;208;15/10/2019;M;B;49;49;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184356;235;15/10/2019;F;B;32;32;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184409;415;15/10/2019;F;B;18;18;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
184419;247;15/10/2019;M;B;44;44;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184446;423;15/10/2019;F;A;48;48;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184541;453;15/10/2019;F;B;57;57;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184629;987;15/10/2019;F;B;35;35;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184699;738;15/10/2019;M;C;69;69;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184735;786;15/10/2019;F;C;67;67;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184798;437;15/10/2019;F;C;26;26;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
184845;844;15/10/2019;F;A;52;52;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
184855;457;15/10/2019;M;C;11;11;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
184886;436;15/10/2019;M;B;60;60;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
184926;549;15/10/2019;M;C;62;62;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185023;237;15/10/2019;F;C;30;30;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185099;101;15/10/2019;F;C;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185179;307;15/10/2019;M;B;43;43;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185240;767;15/10/2019;F;B;40;40;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185287;877;15/10/2019;M;C;39;39;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185292;712;15/10/2019;F;B;25;25;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
185348;539;15/10/2019;M;C;2;2;2;['ALIMENTOS', 'HIGIENE']
185372;793;15/10/2019;M;B;30;30;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185465;14;15/10/2019;M;B;27;27;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185486;197;15/10/2019;F;B;30;30;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185569;507;15/10/2019;F;B;16;16;5;['#N/D', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
185604;275;15/10/2019;M;B;17;17;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185638;806;15/10/2019;F;B;30;30;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
185695;663;15/10/2019;F;B;28;28;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185720;257;15/10/2019;M;C;66;66;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185741;768;15/10/2019;F;B;34;34;5;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
185777;219;15/10/2019;M;B;55;55;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185865;796;15/10/2019;M;B;41;41;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185906;313;15/10/2019;M;B;46;46;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
185941;224;15/10/2019;M;B;7;7;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
186018;927;15/10/2019;M;C;51;51;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186024;15;15/10/2019;M;C;39;39;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186111;828;15/10/2019;F;B;46;46;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186207;54;15/10/2019;M;A;6;6;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
186290;666;20/10/2019;F;B;55;55;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
186298;838;20/10/2019;F;C;68;68;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
186327;559;20/10/2019;F;A;67;67;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186342;459;20/10/2019;F;B;36;36;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
186424;681;20/10/2019;M;C;45;45;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186518;291;20/10/2019;F;C;70;70;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186595;631;20/10/2019;M;C;13;13;5;['#N/D', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
186614;387;20/10/2019;M;B;64;64;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186713;925;20/10/2019;M;C;30;30;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
186750;932;20/10/2019;M;B;6;6;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
186813;397;20/10/2019;F;B;44;44;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186890;822;20/10/2019;M;B;2;2;2;['ALIMENTOS', 'HIGIENE']
186903;314;20/10/2019;F;A;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
186975;419;20/10/2019;F;B;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187061;682;20/10/2019;F;B;10;10;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
187078;413;20/10/2019;M;B;67;67;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187122;93;20/10/2019;F;C;61;61;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187186;758;20/10/2019;F;B;10;10;2;['ALIMENTOS', 'HIGIENE']
187217;917;20/10/2019;M;A;10;10;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
187297;914;20/10/2019;M;B;69;69;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187388;803;20/10/2019;F;A;5;5;2;['ALIMENTOS', 'LIMPEZA']
187416;27;20/10/2019;F;B;66;66;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187475;604;20/10/2019;M;B;5;5;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
187487;430;20/10/2019;F;B;71;71;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187546;716;20/10/2019;F;C;18;18;5;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
187591;39;20/10/2019;M;C;52;52;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187621;567;20/10/2019;F;C;15;15;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
187692;822;20/10/2019;M;B;4;4;2;['ALIMENTOS', 'HIGIENE']
187742;68;20/10/2019;F;A;64;64;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187747;613;20/10/2019;F;B;46;46;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
187841;285;20/10/2019;M;B;40;40;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187885;47;20/10/2019;F;B;32;32;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
187974;968;20/10/2019;F;B;1;1;1;['ALIMENTOS']
188028;586;20/10/2019;F;B;55;55;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188114;334;20/10/2019;M;C;49;49;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188200;108;20/10/2019;M;B;50;50;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188233;914;20/10/2019;M;B;14;14;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
188271;177;20/10/2019;F;C;46;46;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188299;645;20/10/2019;F;B;1;1;1;['ALIMENTOS']
188362;956;20/10/2019;M;C;18;18;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188452;751;20/10/2019;F;B;56;56;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188483;75;20/10/2019;M;B;64;64;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188515;349;20/10/2019;M;B;7;7;2;['ALIMENTOS', 'LIMPEZA']
188564;587;20/10/2019;M;B;27;27;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
188619;305;20/10/2019;F;B;40;40;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
188633;599;20/10/2019;F;C;19;19;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
188685;710;20/10/2019;F;C;47;47;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188763;360;20/10/2019;M;B;52;52;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
188773;499;20/10/2019;M;B;68;68;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188820;144;20/10/2019;M;B;47;47;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188842;934;20/10/2019;F;B;67;67;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
188888;414;20/10/2019;F;B;14;14;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
188934;791;20/10/2019;F;B;73;73;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189018;212;20/10/2019;F;B;48;48;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189054;536;20/10/2019;M;B;11;11;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189147;561;20/10/2019;M;B;17;17;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189216;475;25/10/2019;F;B;42;42;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189309;316;25/10/2019;F;B;60;60;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189374;995;25/10/2019;M;B;27;27;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
189384;37;25/10/2019;M;B;17;17;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189457;143;25/10/2019;F;B;5;5;2;['ALIMENTOS', 'HIGIENE']
189488;949;25/10/2019;M;B;47;47;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189494;387;25/10/2019;M;B;37;37;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189511;949;25/10/2019;M;B;54;54;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189553;358;25/10/2019;F;C;36;36;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189586;317;25/10/2019;M;B;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189621;555;25/10/2019;M;A;53;53;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189692;11;31/10/2019;F;A;65;65;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189713;251;31/10/2019;F;C;15;15;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
189808;737;31/10/2019;F;C;2;2;2;['ALIMENTOS', 'LIMPEZA']
189815;857;31/10/2019;F;B;22;22;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
189840;240;31/10/2019;M;B;32;32;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189859;535;31/10/2019;M;A;7;7;2;['ALIMENTOS', 'HIGIENE']
189889;765;31/10/2019;F;B;29;29;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
189923;892;31/10/2019;F;B;22;22;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
189947;546;31/10/2019;F;B;23;23;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
189962;149;31/10/2019;M;A;2;2;1;['ALIMENTOS']
189999;789;31/10/2019;F;B;46;46;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190020;884;31/10/2019;F;C;59;59;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190094;879;31/10/2019;M;C;23;23;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'PET']
190172;651;31/10/2019;F;B;29;29;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
190256;74;31/10/2019;M;C;43;43;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
190296;812;11/05/2019;F;A;54;54;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
190330;700;11/05/2019;F;C;33;33;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190375;451;11/05/2019;M;C;65;65;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190418;378;11/05/2019;F;C;44;44;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190507;895;11/05/2019;M;B;48;48;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190535;820;11/05/2019;M;B;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190617;125;11/05/2019;M;B;55;55;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
190622;570;11/05/2019;F;C;47;47;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190650;496;11/05/2019;F;B;18;18;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
190745;728;11/05/2019;M;A;50;50;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190750;38;11/05/2019;M;B;54;54;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190756;237;11/05/2019;F;C;5;5;3;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE']
190844;703;11/05/2019;M;B;25;25;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
190883;569;11/05/2019;M;A;36;36;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
190918;693;11/05/2019;F;B;60;60;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
190963;308;11/05/2019;M;B;39;39;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191061;260;11/05/2019;F;C;55;55;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
191145;41;11/05/2019;M;C;67;67;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191165;444;11/05/2019;F;B;47;47;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
191170;936;11/05/2019;F;B;30;30;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191254;539;11/05/2019;M;C;8;8;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
191333;267;11/05/2019;F;B;56;56;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191388;127;11/05/2019;F;C;60;60;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191436;488;11/05/2019;M;B;4;4;3;['#N/D', 'ALIMENTOS', 'LIMPEZA']
191497;365;11/05/2019;M;A;57;57;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191551;224;11/05/2019;M;B;27;27;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191614;66;11/05/2019;M;B;59;59;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191655;664;11/05/2019;M;B;6;6;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
191708;431;11/05/2019;F;B;58;58;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191747;523;11/05/2019;M;B;28;28;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
191790;155;11/05/2019;F;B;25;25;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
191848;268;11/05/2019;M;B;12;12;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
191918;876;11/05/2019;F;B;37;37;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192017;129;11/05/2019;M;A;69;69;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192106;42;11/05/2019;M;B;40;40;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
192155;909;11/05/2019;M;B;47;47;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192185;9;11/05/2019;F;B;14;14;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
192229;722;11/05/2019;F;B;4;4;1;['ALIMENTOS']
192301;459;11/05/2019;F;B;14;14;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
192386;539;11/05/2019;M;C;66;66;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192437;759;11/05/2019;F;B;41;41;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192524;234;11/05/2019;M;B;20;20;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192582;385;11/05/2019;F;B;58;58;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192610;430;11/05/2019;F;B;40;40;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192678;130;11/05/2019;F;B;28;28;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
192777;757;11/05/2019;F;C;50;50;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
192781;129;11/05/2019;M;A;25;25;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
192799;422;11/05/2019;F;C;41;41;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192873;53;11/05/2019;M;B;9;9;4;['ALIMENTOS', 'BEBIDAS', 'LIMPEZA', 'PET']
192918;381;11/05/2019;F;B;44;44;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
192954;506;11/05/2019;F;B;56;56;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193051;580;11/05/2019;M;B;27;27;4;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA']
193067;670;11/05/2019;M;C;46;46;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193130;441;11/05/2019;M;B;8;8;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
193172;712;11/05/2019;F;B;67;67;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
193226;783;11/05/2019;F;B;4;4;2;['ALIMENTOS', 'HIGIENE']
193290;231;11/05/2019;F;B;40;40;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193325;786;11/05/2019;F;C;47;47;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193423;289;11/05/2019;F;C;49;49;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193521;980;11/05/2019;F;B;46;46;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193617;951;11/05/2019;M;B;8;8;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
193652;867;11/05/2019;M;B;72;72;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193680;922;11/05/2019;M;B;50;50;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193705;746;11/05/2019;M;C;5;5;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
193801;653;11/05/2019;M;C;52;52;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193823;569;11/05/2019;M;A;74;74;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
193914;591;11/05/2019;M;B;8;8;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
193993;208;11/05/2019;M;B;55;55;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194066;225;11/05/2019;M;C;47;47;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194134;414;11/05/2019;F;B;54;54;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194161;159;11/05/2019;M;C;61;61;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194201;169;11/05/2019;F;B;33;33;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194225;75;11/05/2019;M;B;50;50;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194255;980;11/05/2019;F;B;48;48;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194262;35;11/05/2019;M;B;51;51;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194346;122;11/05/2019;M;B;9;9;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
194350;190;11/05/2019;M;B;55;55;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194390;492;11/08/2019;F;C;7;7;3;['ALIMENTOS', 'HIGIENE', 'LIMPEZA']
194462;140;11/08/2019;F;C;48;48;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194477;193;11/08/2019;F;B;32;32;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
194504;410;11/08/2019;F;B;45;45;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
